,Curves,eqTemp,eqTime,Species,Trial,OTM,Fit,Incl_eqTime
1,SO_T1_Lizard,17.74882672,113,SO,T1,Lizard,y,n
2,SO_T1_ABS,19.16248369,72,SO,T1,ABS,y,n
3,SO_T1_PLA,19.05668483,61,SO,T1,PLA,y,n
4,SO_T1_CopperPLA,19.56375673,1,SO,T1,CopperPLA,y,n
5,SO_T1_CopperPipe,18.85331279,55,SO,T1,CopperPipe,y,y
6,SO_T4_Lizard,33.01362436,156,SO,T4,Lizard,y,y
7,SO_T4_ABS,32.38596351,144,SO,T4,ABS,y,y
8,SO_T4_PLA,29.14774973,122,SO,T4,PLA,y,y
9,SO_T4_CopperPLA,30.47211099,110,SO,T4,CopperPLA,y,y
10,SO_T4_CopperPipe,27.9118686,147,SO,T4,CopperPipe,y,y
11,SO_T5_Lizard,34.2377629,182,SO,T5,Lizard,y,y
12,SO_T5_ABS,37.58325682,62,SO,T5,ABS,y,y
13,SO_T5_PLA,37.34469806,53,SO,T5,PLA,y,y
14,SO_T5_CopperPLA,39.83377634,71,SO,T5,CopperPLA,y,y
15,SO_T5_CopperPipe,37.28915104,147,SO,T5,CopperPipe,y,y
16,SO_T6_Lizard,21.86836266,134,SO,T6,Lizard,y,y
17,SO_T6_ABS,20.74504105,85,SO,T6,ABS,y,y
18,SO_T6_PLA,20.24163025,154,SO,T6,PLA,y,y
19,SO_T6_CopperPLA,21.00478106,71,SO,T6,CopperPLA,y,y
20,SO_T6_CopperPipe,20.15979932,80,SO,T6,CopperPipe,y,y
21,SO_T7_Lizard,19.78770467,1,SO,T7,Lizard,n,n
22,SO_T7_ABS,21.9996875,10,SO,T7,ABS,n,n
23,SO_T7_PLA,21.58272712,12,SO,T7,PLA,n,n
24,SO_T7_CopperPLA,21.33907917,20,SO,T7,CopperPLA,n,n
25,SO_T7_CopperPipe,21.28703288,33,SO,T7,CopperPipe,n,n
26,SO_T9_Lizard,20.12705986,1,SO,T9,Lizard,y,n
27,SO_T9_ABS,18.83416895,35,SO,T9,ABS,y,n
28,SO_T9_PLA,19.00489076,41,SO,T9,PLA,y,n
29,SO_T9_CopperPLA,18.7781222,38,SO,T9,CopperPLA,y,n
30,SO_T9_CopperPipe,19.41109553,57,SO,T9,CopperPipe,y,n
31,SO_T10_Lizard,31.5934556,134,SO,T10,Lizard,y,y
32,SO_T10_ABS,32.26386271,29,SO,T10,ABS,y,y
33,SO_T10_PLA,31.67765703,65,SO,T10,PLA,y,y
34,SO_T10_CopperPLA,32.48652901,71,SO,T10,CopperPLA,y,y
35,SO_T10_CopperPipe,29.67661068,57,SO,T10,CopperPipe,y,y
36,SO_T11_Lizard,35.08985896,158,SO,T11,Lizard,y,y
37,SO_T11_ABS,37.63538368,47,SO,T11,ABS,y,y
38,SO_T11_PLA,32.33271866,35,SO,T11,PLA,y,y
39,SO_T11_CopperPLA,34.60180982,35,SO,T11,CopperPLA,y,y
40,SO_T11_CopperPipe,30.86790514,57,SO,T11,CopperPipe,y,y
41,SO_T12_Lizard,31.10848628,102,SO,T12,Lizard,y,y
42,SO_T12_ABS,34.90471584,46,SO,T12,ABS,y,y
43,SO_T12_PLA,33.64582259,44,SO,T12,PLA,y,y
44,SO_T12_CopperPLA,35.85741505,48,SO,T12,CopperPLA,y,y
45,SO_T12_CopperPipe,36.28677673,62,SO,T12,CopperPipe,y,y
46,SO_T13_Lizard,37.62221331,86,SO,T13,Lizard,y,y
47,SO_T13_ABS,40.15191202,66,SO,T13,ABS,y,y
48,SO_T13_PLA,34.04242171,75,SO,T13,PLA,y,y
49,SO_T13_CopperPLA,35.87046374,77,SO,T13,CopperPLA,y,y
50,SO_T13_CopperPipe,37.57419641,113,SO,T13,CopperPipe,y,y
51,SO_T14_Lizard,24.44999819,1,SO,T14,Lizard,n,n
52,SO_T14_ABS,20.02285313,96,SO,T14,ABS,n,n
53,SO_T14_PLA,19.62130133,64,SO,T14,PLA,n,n
54,SO_T14_CopperPLA,19.40846117,47,SO,T14,CopperPLA,n,n
55,SO_T14_CopperPipe,19.31635269,169,SO,T14,CopperPipe,n,n
56,SO_T15_Lizard,19.39296979,109,SO,T15,Lizard,y,y
57,SO_T15_ABS,17.98973784,20,SO,T15,ABS,y,y
58,SO_T15_PLA,17.95193078,20,SO,T15,PLA,y,y
59,SO_T15_CopperPLA,18.00042599,18,SO,T15,CopperPLA,y,y
60,SO_T15_CopperPipe,20.20317197,29,SO,T15,CopperPipe,y,y
61,SO_T16_Lizard,32.11758172,161,SO,T16,Lizard,y,y
62,SO_T16_ABS,33.61590929,73,SO,T16,ABS,y,y
63,SO_T16_PLA,32.3872467,56,SO,T16,PLA,y,y
64,SO_T16_CopperPLA,30.64754392,32,SO,T16,CopperPLA,y,y
65,SO_T16_CopperPipe,35.2116161,100,SO,T16,CopperPipe,y,y
66,SO_T18_Lizard,16.20282716,125,SO,T18,Lizard,y,y
67,SO_T18_ABS,16.91794564,69,SO,T18,ABS,y,y
68,SO_T18_PLA,17.57034559,62,SO,T18,PLA,y,y
69,SO_T18_CopperPLA,18.90596735,36,SO,T18,CopperPLA,y,y
70,SO_T18_CopperPipe,19.20255848,56,SO,T18,CopperPipe,y,y
71,SO_T20_Lizard,24.61270199,34,SO,T20,Lizard,y,y
72,SO_T20_ABS,23.34888022,38,SO,T20,ABS,y,y
73,SO_T20_PLA,23.78943907,46,SO,T20,PLA,y,y
74,SO_T20_CopperPLA,23.47613127,31,SO,T20,CopperPLA,y,y
75,SO_T20_CopperPipe,24.10387835,59,SO,T20,CopperPipe,y,y
76,SO_T21_Lizard,22.35096457,193,SO,T21,Lizard,y,y
77,SO_T21_ABS,22.27386054,71,SO,T21,ABS,y,y
78,SO_T21_PLA,22.12192106,72,SO,T21,PLA,y,y
79,SO_T21_CopperPLA,22.04224609,62,SO,T21,CopperPLA,y,y
80,SO_T21_CopperPipe,22.20986025,137,SO,T21,CopperPipe,y,y
81,SO_T22_Lizard,33.24779794,99,SO,T22,Lizard,y,y
82,SO_T22_ABS,31.3988016,47,SO,T22,ABS,y,y
83,SO_T22_PLA,32.99254657,44,SO,T22,PLA,y,y
84,SO_T22_CopperPLA,31.0796117,56,SO,T22,CopperPLA,y,y
85,SO_T22_CopperPipe,32.92234531,77,SO,T22,CopperPipe,y,y
86,SO_T23_Lizard,35.09529888,167,SO,T23,Lizard,y,y
87,SO_T23_ABS,30.68871702,44,SO,T23,ABS,y,y
88,SO_T23_PLA,30.17973153,42,SO,T23,PLA,y,y
89,SO_T23_CopperPLA,29.4346771,36,SO,T23,CopperPLA,y,y
90,SO_T23_CopperPipe,37.67194554,109,SO,T23,CopperPipe,y,y
91,SO_T24_Lizard,36.59874383,258,SO,T24,Lizard,y,y
92,SO_T24_ABS,33.50023295,85,SO,T24,ABS,y,y
93,SO_T24_PLA,NA,NA,SO,T24,PLA,y,y
94,SO_T24_CopperPLA,29.37511188,62,SO,T24,CopperPLA,y,y
95,SO_T24_CopperPipe,30.82182466,142,SO,T24,CopperPipe,y,y
96,SO_T25_Lizard,35.42545432,110,SO,T25,Lizard,y,y
97,SO_T25_ABS,36.83226088,59,SO,T25,ABS,y,y
98,SO_T25_PLA,33.65107435,71,SO,T25,PLA,y,y
99,SO_T25_CopperPLA,32.73187877,51,SO,T25,CopperPLA,y,y
100,SO_T25_CopperPipe,32.02670313,99,SO,T25,CopperPipe,y,y
101,SO_T26_Lizard,NA,NA,SO,T26,Lizard,n,n
102,SO_T26_ABS,8.489663461,135,SO,T26,ABS,n,n
103,SO_T26_PLA,8.980605597,107,SO,T26,PLA,n,n
104,SO_T26_CopperPLA,7.354991603,125,SO,T26,CopperPLA,n,n
105,SO_T26_CopperPipe,6.479718431,167,SO,T26,CopperPipe,n,n
106,SO_T27_Lizard,35.76086772,160,SO,T27,Lizard,y,y
107,SO_T27_ABS,37.07746717,214,SO,T27,ABS,y,y
108,SO_T27_PLA,37.47949835,112,SO,T27,PLA,y,y
109,SO_T27_CopperPLA,34.06445969,56,SO,T27,CopperPLA,y,y
110,SO_T27_CopperPipe,35.98314361,190,SO,T27,CopperPipe,y,y
111,PM_T1_Lizard,20.51382925,28,PM,T1,Lizard,y,y
112,PM_T1_CopperPLA,20.18529831,11,PM,T1,CopperPLA,y,y
113,PM_T1_PLA,19.80809186,8,PM,T1,PLA,y,y
114,PM_T1_ABS,19.86805022,7,PM,T1,ABS,y,y
115,PM_T2_Lizard,23.24049931,67,PM,T2,Lizard,y,y
116,PM_T2_CopperPLA,22.85752046,26,PM,T2,CopperPLA,y,y
117,PM_T2_PLA,21.76814518,10,PM,T2,PLA,y,y
118,PM_T2_ABS,21.70822362,9,PM,T2,ABS,y,y
119,PM_T3_Lizard,26.34495692,76,PM,T3,Lizard,y,y
120,PM_T3_CopperPLA,27.11072506,41,PM,T3,CopperPLA,y,y
121,PM_T3_PLA,25.59425299,48,PM,T3,PLA,y,y
122,PM_T3_ABS,27.03844189,40,PM,T3,ABS,y,y
123,PM_T4_Lizard,29.63539135,94,PM,T4,Lizard,y,y
124,PM_T4_CopperPLA,31.12693778,52,PM,T4,CopperPLA,y,y
125,PM_T4_PLA,27.28281712,45,PM,T4,PLA,y,y
126,PM_T4_ABS,26.02073732,45,PM,T4,ABS,y,y
127,PM_T5_Lizard,31.57192821,45,PM,T5,Lizard,y,y
128,PM_T5_CopperPLA,30.95416652,40,PM,T5,CopperPLA,y,y
129,PM_T5_PLA,29.01356321,38,PM,T5,PLA,y,y
130,PM_T5_ABS,30.35298272,31,PM,T5,ABS,y,y
131,PM_T6_Lizard,35.65498562,80,PM,T6,Lizard,y,y
132,PM_T6_CopperPLA,39.18231634,115,PM,T6,CopperPLA,y,y
133,PM_T6_PLA,35.1611077,80,PM,T6,PLA,y,y
134,PM_T6_ABS,37.75151782,114,PM,T6,ABS,y,y
135,PM_T7_Lizard,24.90535782,66,PM,T7,Lizard,y,y
136,PM_T7_CopperPLA,23.54963774,14,PM,T7,CopperPLA,y,y
137,PM_T7_PLA,23.6573442,15,PM,T7,PLA,y,y
138,PM_T7_ABS,24.50727976,21,PM,T7,ABS,y,y
139,PM_T8_Lizard,24.40558877,60,PM,T8,Lizard,y,y
140,PM_T8_CopperPLA,24.00064209,21,PM,T8,CopperPLA,y,y
141,PM_T8_PLA,23.14930605,38,PM,T8,PLA,y,y
142,PM_T8_ABS,23.62071795,25,PM,T8,ABS,y,y
143,PM_T9_Lizard,24.27673701,91,PM,T9,Lizard,y,y
144,PM_T9_CopperPLA,23.4475056,24,PM,T9,CopperPLA,y,y
145,PM_T9_PLA,23.18391849,21,PM,T9,PLA,y,y
146,PM_T9_ABS,23.99507537,37,PM,T9,ABS,y,y
147,PM_T10_Lizard,24.68682376,79,PM,T10,Lizard,y,n
148,PM_T10_CopperPLA,24.29967466,18,PM,T10,CopperPLA,y,n
149,PM_T10_PLA,24.51635286,1,PM,T10,PLA,y,n
150,PM_T10_ABS,24.48619287,11,PM,T10,ABS,y,n
151,PM_T11_Lizard,35.57643855,123,PM,T11,Lizard,y,y
152,PM_T11_CopperPLA,33.02639699,46,PM,T11,CopperPLA,y,y
153,PM_T11_PLA,33.2920894,47,PM,T11,PLA,y,y
154,PM_T11_ABS,32.38153304,41,PM,T11,ABS,y,y
155,PM_T12_Lizard,34.40193696,108,PM,T12,Lizard,y,y
156,PM_T12_CopperPLA,34.73639688,26,PM,T12,CopperPLA,y,y
157,PM_T12_PLA,34.09336526,42,PM,T12,PLA,y,y
158,PM_T12_ABS,34.47252143,38,PM,T12,ABS,y,y
159,AS_T5_PLA,NA,NA,AS,T5,PLA,n,n
160,AS_T5_ABS,28.52499987,1,AS,T5,ABS,n,n
161,AS_T5_CopperPLA,28.69872587,2,AS,T5,CopperPLA,n,n
162,AS_T5_Lizard,29.4133039,18,AS,T5,Lizard,n,n
163,AS_T6_PLA,NA,NA,AS,T6,PLA,n,n
164,AS_T6_ABS,30.39954533,1,AS,T6,ABS,n,n
165,AS_T6_CopperPLA,29.31765876,1,AS,T6,CopperPLA,n,n
166,AS_T6_Lizard,NA,NA,AS,T6,Lizard,n,n
167,AS_T7_PLA,28.9051964,11,AS,T7,PLA,y,y
168,AS_T7_ABS,28.93432092,10,AS,T7,ABS,y,y
169,AS_T7_CopperPLA,29.03815264,8,AS,T7,CopperPLA,y,y
170,AS_T7_Lizard,27.80337775,21,AS,T7,Lizard,y,y
171,AS_T8_PLA,27.93859498,11,AS,T8,PLA,y,y
172,AS_T8_ABS,27.6605868,9,AS,T8,ABS,y,y
173,AS_T8_CopperPLA,28.04726051,11,AS,T8,CopperPLA,y,y
174,AS_T8_Lizard,27.50031857,54,AS,T8,Lizard,y,y
175,AS_T9_PLA,27.05707382,4,AS,T9,PLA,n,n
176,AS_T9_ABS,26.86556435,7,AS,T9,ABS,n,n
177,AS_T9_CopperPLA,26.91616502,3,AS,T9,CopperPLA,n,n
178,AS_T9_Lizard,NA,NA,AS,T9,Lizard,n,n
179,AS_T10_PLA,26.83352855,17,AS,T10,PLA,y,y
180,AS_T10_ABS,26.77182251,18,AS,T10,ABS,y,y
181,AS_T10_CopperPLA,26.84286551,12,AS,T10,CopperPLA,y,y
182,AS_T10_Lizard,26.35714994,32,AS,T10,Lizard,y,y
183,AS_T11_PLA,26.00562882,12,AS,T11,PLA,y,y
184,AS_T11_ABS,25.88751752,17,AS,T11,ABS,y,y
185,AS_T11_CopperPLA,25.8962169,13,AS,T11,CopperPLA,y,y
186,AS_T11_Lizard,25.89184897,36,AS,T11,Lizard,y,y
187,AS_T12_PLA,26.13448322,16,AS,T12,PLA,y,n
188,AS_T12_ABS,26.23573868,15,AS,T12,ABS,y,n
189,AS_T12_CopperPLA,26.39651184,13,AS,T12,CopperPLA,y,n
190,AS_T12_Lizard,25.95676862,9,AS,T12,Lizard,y,n
191,AS_T13_PLA,26.02343974,20,AS,T13,PLA,y,y
192,AS_T13_ABS,26.1728714,22,AS,T13,ABS,y,y
193,AS_T13_CopperPLA,26.20867164,17,AS,T13,CopperPLA,y,y
194,AS_T13_Lizard,25.99732448,39,AS,T13,Lizard,y,y
195,AS_T14_PLA,26.7644729,23,AS,T14,PLA,y,y
196,AS_T14_ABS,26.79710131,22,AS,T14,ABS,y,y
197,AS_T14_CopperPLA,26.95925406,20,AS,T14,CopperPLA,y,y
198,AS_T14_Lizard,26.6595013,37,AS,T14,Lizard,y,y
199,AS_T15_PLA,26.92427118,14,AS,T15,PLA,y,y
200,AS_T15_ABS,27.01963213,13,AS,T15,ABS,y,y
201,AS_T15_CopperPLA,26.93585131,12,AS,T15,CopperPLA,y,y
202,AS_T15_Lizard,26.85105252,35,AS,T15,Lizard,y,y
203,AS_T16_PLA,27.7222952,10,AS,T16,PLA,y,y
204,AS_T16_ABS,27.6706501,9,AS,T16,ABS,y,y
205,AS_T16_CopperPLA,27.71695365,9,AS,T16,CopperPLA,y,y
206,AS_T16_Lizard,27.35224753,35,AS,T16,Lizard,y,y
207,AS_T17_PLA,27.13724795,4,AS,T17,PLA,y,n
208,AS_T17_ABS,27.32819986,3,AS,T17,ABS,y,n
209,AS_T17_CopperPLA,27.33310016,4,AS,T17,CopperPLA,y,n
210,AS_T17_Lizard,27.32717405,9,AS,T17,Lizard,y,n
211,AS_T18_PLA,26.99962327,26,AS,T18,PLA,y,y
212,AS_T18_ABS,27.03955424,23,AS,T18,ABS,y,y
213,AS_T18_CopperPLA,27.06522655,23,AS,T18,CopperPLA,y,y
214,AS_T18_Lizard,26.5988566,51,AS,T18,Lizard,y,y
215,AS_T19_PLA,27.4013134,15,AS,T19,PLA,y,n
216,AS_T19_ABS,27.01715161,27,AS,T19,ABS,y,n
217,AS_T19_CopperPLA,27.6338391,46,AS,T19,CopperPLA,y,n
218,AS_T19_Lizard,26.05009326,1,AS,T19,Lizard,y,n
219,AS_T20_PLA,28.06400266,23,AS,T20,PLA,y,y
220,AS_T20_ABS,28.00312104,27,AS,T20,ABS,y,y
221,AS_T20_CopperPLA,28.28029606,31,AS,T20,CopperPLA,y,y
222,AS_T20_Lizard,28.00564552,82,AS,T20,Lizard,y,y
223,AS_T21_PLA,28.65050931,13,AS,T21,PLA,y,y
224,AS_T21_ABS,28.50573622,11,AS,T21,ABS,y,y
225,AS_T21_CopperPLA,28.60819237,14,AS,T21,CopperPLA,y,y
226,AS_T21_Lizard,28.16283839,35,AS,T21,Lizard,y,y
227,AS_T22_PLA,29.0275031,25,AS,T22,PLA,y,y
228,AS_T22_ABS,28.99738821,30,AS,T22,ABS,y,y
229,AS_T22_CopperPLA,28.93636986,30,AS,T22,CopperPLA,y,y
230,AS_T22_Lizard,28.91008206,79,AS,T22,Lizard,y,y
231,AG_T1_PLA,NA,NA,AG,T1,PLA,n,n
232,AG_T1_ABS,NA,NA,AG,T1,ABS,n,n
233,AG_T1_CopperPLA,27.54805878,1,AG,T1,CopperPLA,n,n
234,AG_T1_Lizard,29.80692982,23,AG,T1,Lizard,n,n
235,AG_T2_PLA,NA,NA,AG,T2,PLA,n,n
236,AG_T2_ABS,NA,NA,AG,T2,ABS,n,n
237,AG_T2_CopperPLA,NA,NA,AG,T2,CopperPLA,n,n
238,AG_T2_Lizard,27.31158103,1,AG,T2,Lizard,n,n
239,AG_T3_PLA,23.55099014,64,AG,T3,PLA,n,n
240,AG_T3_Lizard,30.07697771,1,AG,T3,Lizard,n,n
241,AG_T3_CopperPLA,23.11737347,103,AG,T3,CopperPLA,n,n
242,AG_T3_ABS,23.80510769,132,AG,T3,ABS,n,n
243,AC_T4_ABS,29.67724139,1,AC,T4,ABS,n,n
244,AC_T4_CopperPLA,29.4846864,3,AC,T4,CopperPLA,n,n
245,AC_T4_PLA,29.45467659,6,AC,T4,PLA,n,n
246,AC_T4_Lizard,29.34427777,8,AC,T4,Lizard,n,n
247,AC_T5_ABS,25.23249549,87,AC,T5,ABS,y,y
248,AC_T5_CopperPLA,25.03807162,67,AC,T5,CopperPLA,y,y
249,AC_T5_PLA,25.07368091,48,AC,T5,PLA,y,y
250,AC_T5_Lizard,25.13855442,97,AC,T5,Lizard,y,y
251,AC_T7_Lizard,NA,NA,AC,T7,Lizard,n,n
252,AC_T7_ABS,NA,NA,AC,T7,ABS,n,n
253,AC_T7_CopperPLA,NA,NA,AC,T7,CopperPLA,n,n
254,AC_T7_PLA,NA,NA,AC,T7,PLA,n,n
255,AC_T8_Lizard,NA,NA,AC,T8,Lizard,n,n
256,AC_T8_ABS,NA,NA,AC,T8,ABS,n,n
257,AC_T8_CopperPLA,NA,NA,AC,T8,CopperPLA,n,n
258,AC_T8_PLA,NA,NA,AC,T8,PLA,n,n
259,AC_T9_Lizard,32.9311483,60,AC,T9,Lizard,n,n
260,AC_T9_CopperPLA,35.10839899,51,AC,T9,CopperPLA,n,n
261,AC_T9_ABS,NA,NA,AC,T9,ABS,n,n
262,AC_T9_PLA,37.81782364,107,AC,T9,PLA,n,n
263,AC_T10_Lizard,26.34949752,76,AC,T10,Lizard,n,n
264,AC_T10_CopperPLA,NA,NA,AC,T10,CopperPLA,n,n
265,AC_T10_ABS,NA,NA,AC,T10,ABS,n,n
266,AC_T10_PLA,NA,NA,AC,T10,PLA,n,n
267,AC_T12_PLA,25.42593776,65,AC,T12,PLA,n,n
268,AC_T12_CopperPLA,NA,NA,AC,T12,CopperPLA,n,n
269,AC_T12_ABS,NA,NA,AC,T12,ABS,n,n
270,AC_T12_Lizard,NA,NA,AC,T12,Lizard,n,n
271,AC_T13_ABS,30.76254232,102,AC,T13,ABS,y,n
272,AC_T13_CopperPLA,NA,NA,AC,T13,CopperPLA,y,n
273,AC_T13_PLA,28.7240779,92,AC,T13,PLA,y,n
274,AC_T13_Lizard,29.62115647,31,AC,T13,Lizard,y,n
275,AP_T14_Lizard,35.03162114,53,AP,T14,Lizard,n,n
276,AP_T14_CopperPLA,33.99951346,11,AP,T14,CopperPLA,n,n
277,AP_T14_ABS,NA,NA,AP,T14,ABS,n,n
278,AP_T14_PLA,NA,NA,AP,T14,PLA,n,n
279,AP_T15_Lizard,32.99302732,44,AP,T15,Lizard,n,n
280,AP_T15_CopperPLA,33.34760207,5,AP,T15,CopperPLA,n,n
281,AP_T15_ABS,NA,NA,AP,T15,ABS,n,n
282,AP_T15_PLA,NA,NA,AP,T15,PLA,n,n
283,AP_T17_Lizard,30.49835427,20,AP,T17,Lizard,y,y
284,AP_T17_Copper,30.1023758,9,AP,T17,CopperPLA,y,y
285,AP_T17_ABS,30.60077899,9,AP,T17,ABS,y,y
286,AP_T17_PLA,29.97575772,4,AP,T17,PLA,y,y
287,AP_T18_Lizard,32.70526329,54,AP,T18,Lizard,y,y
288,AP_T18_CopperPLA,32.68198567,32,AP,T18,CopperPLA,y,y
289,AP_T18_ABS,33.007798,28,AP,T18,ABS,y,y
290,AP_T18_PLA,32.80804228,34,AP,T18,PLA,y,y
291,AP_T19_Lizard,30.51729846,51,AP,T19,Lizard,y,y
292,AP_T19_CopperPLA,34.0708953,18,AP,T19,CopperPLA,y,y
293,AP_T19_ABS,33.74789579,19,AP,T19,ABS,y,y
294,AP_T19_PLA,33.69646519,16,AP,T19,PLA,y,y
295,AC_T20_Lizard,28.29176696,128,AC,T20,Lizard,y,y
296,AC_T20_CopperPLA,28.52011099,68,AC,T20,CopperPLA,y,y
297,AC_T20_ABS,28.3906275,64,AC,T20,ABS,y,y
298,AC_T20_PLA,28.18030681,71,AC,T20,PLA,y,y
299,AC_T21_Lizard,30.07265452,110,AC,T21,Lizard,y,y
300,AC_T21_CopperPLA,29.89612476,51,AC,T21,CopperPLA,y,y
301,AC_T21_ABS,31.70408759,79,AC,T21,ABS,y,y
302,AC_T21_PLA,30.89803483,81,AC,T21,PLA,y,y
303,AP_T22_Lizard,32.28525194,65,AP,T22,Lizard,y,y
304,AP_T22_CopperPLA,32.35062391,34,AP,T22,CopperPLA,y,y
305,AP_T22_ABS,31.68151469,33,AP,T22,ABS,y,y
306,AP_T22_PLA,31.69050053,30,AP,T22,PLA,y,y
307,AP_T23_Lizard,33.62702241,77,AP,T23,Lizard,y,y
308,AP_T23_CopperPLA,33.09474812,38,AP,T23,CopperPLA,y,y
309,AP_T23_ABS,32.29439803,82,AP,T23,ABS,y,y
310,AP_T23_PLA,33.06083581,65,AP,T23,PLA,y,y
311,AP_T24_Lizard,31.75804919,36,AP,T24,Lizard,y,y
312,AP_T24_CopperPLA,34.3620506,38,AP,T24,CopperPLA,y,y
313,AP_T24_ABS,33.57979585,40,AP,T24,ABS,y,y
314,AP_T24_PLA,34.07912252,40,AP,T24,PLA,y,y
315,AP_T26_Lizard,32.9485767,51,AP,T26,Lizard,y,y
316,AP_T26_CopperPLA,35.0124405,69,AP,T26,CopperPLA,y,y
317,AP_T26_ABS,32.76460649,60,AP,T26,ABS,y,y
318,AP_T26_PLA,33.68372137,58,AP,T26,PLA,y,y
319,AG_T27_Lizard,22.90124674,82,AG,T27,Lizard,y,y
320,AG_T27_CopperPLA,23.1723779,23,AG,T27,CopperPLA,y,y
321,AG_T27_ABS,22.9465035,13,AG,T27,ABS,y,y
322,AG_T27_PLA,23.01733855,13,AG,T27,PLA,y,y
323,AG_T28_Lizard,22.36617182,59,AG,T28,Lizard,y,y
324,AG_T28_CopperPLA,22.59278547,23,AG,T28,CopperPLA,y,y
325,AG_T28_ABS,22.60042784,16,AG,T28,ABS,y,y
326,AG_T28_PLA,22.5748988,14,AG,T28,PLA,y,y
327,AG_T29_Lizard,28.21659266,186,AG,T29,Lizard,y,y
328,AG_T29_CopperPLA,25.9723739,51,AG,T29,CopperPLA,y,y
329,AG_T29_ABS,25.7285896,29,AG,T29,ABS,y,y
330,AG_T29_PLA,26.18531538,30,AG,T29,PLA,y,y
331,AG_T30_Lizard,26.47764451,84,AG,T30,Lizard,y,y
332,AG_T30_CopperPLA,26.22647083,14,AG,T30,CopperPLA,y,y
333,AG_T30_ABS,25.63916639,10,AG,T30,ABS,y,y
334,AG_T30_PLA,25.63770059,12,AG,T30,PLA,y,y
335,AG_T31_Lizard,25.77152902,61,AG,T31,Lizard,y,y
336,AG_T31_CopperPLA,25.41208239,10,AG,T31,CopperPLA,y,y
337,AG_T31_ABS,26.42209526,6,AG,T31,ABS,y,y
338,AG_T31_PLA,25.56246549,8,AG,T31,PLA,y,y
339,AG_T32_Lizard,25.07686878,77,AG,T32,Lizard,y,y
340,AG_T32_CopperPLA,25.00652972,10,AG,T32,CopperPLA,y,y
341,AG_T32_ABS,25.6777724,17,AG,T32,ABS,y,y
342,AG_T32_PLA,24.62596582,5,AG,T32,PLA,y,y
343,AG_T33_Lizard,23.65791362,36,AG,T33,Lizard,y,y
344,AG_T33_CopperPLA,23.72827171,17,AG,T33,CopperPLA,y,y
345,AG_T33_ABS,23.6110668,10,AG,T33,ABS,y,y
346,AG_T33_PLA,23.21414425,11,AG,T33,PLA,y,y
347,AG_T34_Lizard,25.92635153,96,AG,T34,Lizard,y,y
348,AG_T34_CopperPLA,27.0278795,28,AG,T34,CopperPLA,y,y
349,AG_T34_ABS,27.18538477,33,AG,T34,ABS,y,y
350,AG_T34_PLA,27.18146638,34,AG,T34,PLA,y,y
351,AG_T35_Lizard,25.92635153,96,AG,T35,Lizard,y,y
352,AG_T35_CopperPLA,26.70458248,16,AG,T35,CopperPLA,y,y
353,AG_T35_ABS,26.81713288,19,AG,T35,ABS,y,y
354,AG_T35_PLA,26.97927371,12,AG,T35,PLA,y,y
355,AG_T36_Lizard,25.28404492,72,AG,T36,Lizard,y,y
356,AG_T36_CopperPLA,25.70194132,22,AG,T36,CopperPLA,y,y
357,AG_T36_ABS,25.94538749,17,AG,T36,ABS,y,y
358,AG_T36_PLA,26.01021577,6,AG,T36,PLA,y,y
359,AG_T37_Lizard,24.60764563,55,AG,T37,Lizard,y,y
360,AG_T37_CopperPLA,24.82375477,18,AG,T37,CopperPLA,y,y
361,AG_T37_ABS,24.8954275,16,AG,T37,ABS,y,y
362,AG_T37_PLA,24.85425186,15,AG,T37,PLA,y,y
363,AG_T38_Lizard,24.06834357,52,AG,T38,Lizard,y,y
364,AG_T38_CopperPLA,24.38116049,12,AG,T38,CopperPLA,y,y
365,AG_T38_ABS,24.2548193,12,AG,T38,ABS,y,y
366,AG_T38_PLA,24.44067212,13,AG,T38,PLA,y,y
367,AC_T39_Lizard,25.52576129,55,AC,T39,Lizard,y,y
368,AC_T39_CopperPLA,26.16509905,19,AC,T39,CopperPLA,y,y
369,AC_T39_ABS,26.20229515,16,AC,T39,ABS,y,y
370,AC_T39_PLA,26.21597524,16,AC,T39,PLA,y,y
371,AG_T40_Lizard,26.95588122,120,AG,T40,Lizard,y,y
372,AG_T40_CopperPLA,26.78896815,18,AG,T40,CopperPLA,y,y
373,AG_T40_ABS,26.88614368,17,AG,T40,ABS,y,y
374,AG_T40_PLA,26.91529578,16,AG,T40,PLA,y,y
375,AG_T41_Lizard,27.10079183,109,AG,T41,Lizard,y,y
376,AG_T41_CopperPLA,27.1986255,15,AG,T41,CopperPLA,y,y
377,AG_T41_ABS,27.20016475,15,AG,T41,ABS,y,y
378,AG_T41_PLA,27.14918542,17,AG,T41,PLA,y,y
379,AC_T42_Lizard,26.54696886,48,AC,T42,Lizard,y,y
380,AC_T42_CopperPLA,26.49404855,15,AC,T42,CopperPLA,y,y
381,AC_T42_ABS,27.27659391,13,AC,T42,ABS,y,y
382,AC_T42_PLA,27.04826893,14,AC,T42,PLA,y,y