,Curves,eqTemp,eqTime,Species,Trial,OTM,Fit,Incl_eqTime,LizardTemp,LizardTime,DevT,Abs_DevT
2,SO_T1_ABS,19.16248369,72,SO,T1,ABS,y,n,17.74882672,113,-1.41365697,1.41365697
3,SO_T1_PLA,19.05668483,61,SO,T1,PLA,y,n,17.74882672,113,-1.30785811,1.30785811
4,SO_T1_CopperPLA,19.56375673,1,SO,T1,CopperPLA,y,n,17.74882672,113,-1.81493001,1.81493001
5,SO_T1_CopperPipe,18.85331279,55,SO,T1,CopperPipe,y,y,17.74882672,113,-1.10448607,1.10448607
7,SO_T4_ABS,32.38596351,144,SO,T4,ABS,y,y,33.01362436,156,0.62766085,0.62766085
8,SO_T4_PLA,29.14774973,122,SO,T4,PLA,y,y,33.01362436,156,3.86587463,3.86587463
9,SO_T4_CopperPLA,30.47211099,110,SO,T4,CopperPLA,y,y,33.01362436,156,2.54151337,2.54151337
10,SO_T4_CopperPipe,27.9118686,147,SO,T4,CopperPipe,y,y,33.01362436,156,5.10175576,5.10175576
12,SO_T5_ABS,37.58325682,62,SO,T5,ABS,y,y,34.2377629,182,-3.34549392,3.34549392
13,SO_T5_PLA,37.34469806,53,SO,T5,PLA,y,y,34.2377629,182,-3.10693516,3.10693516
14,SO_T5_CopperPLA,39.83377634,71,SO,T5,CopperPLA,y,y,34.2377629,182,-5.59601344,5.59601344
15,SO_T5_CopperPipe,37.28915104,147,SO,T5,CopperPipe,y,y,34.2377629,182,-3.05138814,3.05138814
17,SO_T6_ABS,20.74504105,85,SO,T6,ABS,y,y,21.86836266,134,1.12332161,1.12332161
18,SO_T6_PLA,20.24163025,154,SO,T6,PLA,y,y,21.86836266,134,1.62673241,1.62673241
19,SO_T6_CopperPLA,21.00478106,71,SO,T6,CopperPLA,y,y,21.86836266,134,0.8635816,0.8635816
20,SO_T6_CopperPipe,20.15979932,80,SO,T6,CopperPipe,y,y,21.86836266,134,1.70856334,1.70856334
22,SO_T7_ABS,21.9996875,10,SO,T7,ABS,n,n,19.78770467,1,-2.21198283,2.21198283
23,SO_T7_PLA,21.58272712,12,SO,T7,PLA,n,n,19.78770467,1,-1.79502245,1.79502245
24,SO_T7_CopperPLA,21.33907917,20,SO,T7,CopperPLA,n,n,19.78770467,1,-1.5513745,1.5513745
25,SO_T7_CopperPipe,21.28703288,33,SO,T7,CopperPipe,n,n,19.78770467,1,-1.49932821,1.49932821
27,SO_T9_ABS,18.83416895,35,SO,T9,ABS,y,n,20.12705986,1,1.29289091,1.29289091
28,SO_T9_PLA,19.00489076,41,SO,T9,PLA,y,n,20.12705986,1,1.1221691,1.1221691
29,SO_T9_CopperPLA,18.7781222,38,SO,T9,CopperPLA,y,n,20.12705986,1,1.34893766,1.34893766
30,SO_T9_CopperPipe,19.41109553,57,SO,T9,CopperPipe,y,n,20.12705986,1,0.71596433,0.71596433
32,SO_T10_ABS,32.26386271,29,SO,T10,ABS,y,y,31.5934556,134,-0.67040711,0.67040711
33,SO_T10_PLA,31.67765703,65,SO,T10,PLA,y,y,31.5934556,134,-0.08420143,0.08420143
34,SO_T10_CopperPLA,32.48652901,71,SO,T10,CopperPLA,y,y,31.5934556,134,-0.89307341,0.89307341
35,SO_T10_CopperPipe,29.67661068,57,SO,T10,CopperPipe,y,y,31.5934556,134,1.91684492,1.91684492
37,SO_T11_ABS,37.63538368,47,SO,T11,ABS,y,y,35.08985896,158,-2.54552472,2.54552472
38,SO_T11_PLA,32.33271866,35,SO,T11,PLA,y,y,35.08985896,158,2.7571403,2.7571403
39,SO_T11_CopperPLA,34.60180982,35,SO,T11,CopperPLA,y,y,35.08985896,158,0.48804914,0.48804914
40,SO_T11_CopperPipe,30.86790514,57,SO,T11,CopperPipe,y,y,35.08985896,158,4.22195382,4.22195382
42,SO_T12_ABS,34.90471584,46,SO,T12,ABS,y,y,31.10848628,102,-3.79622956,3.79622956
43,SO_T12_PLA,33.64582259,44,SO,T12,PLA,y,y,31.10848628,102,-2.53733631,2.53733631
44,SO_T12_CopperPLA,35.85741505,48,SO,T12,CopperPLA,y,y,31.10848628,102,-4.74892877,4.74892877
45,SO_T12_CopperPipe,36.28677673,62,SO,T12,CopperPipe,y,y,31.10848628,102,-5.17829045,5.17829045
47,SO_T13_ABS,40.15191202,66,SO,T13,ABS,y,y,37.62221331,86,-2.52969871,2.52969871
48,SO_T13_PLA,34.04242171,75,SO,T13,PLA,y,y,37.62221331,86,3.5797916,3.5797916
49,SO_T13_CopperPLA,35.87046374,77,SO,T13,CopperPLA,y,y,37.62221331,86,1.75174957,1.75174957
50,SO_T13_CopperPipe,37.57419641,113,SO,T13,CopperPipe,y,y,37.62221331,86,0.0480169,0.0480169
52,SO_T14_ABS,20.02285313,96,SO,T14,ABS,n,n,24.44999819,1,4.42714506,4.42714506
53,SO_T14_PLA,19.62130133,64,SO,T14,PLA,n,n,24.44999819,1,4.82869686,4.82869686
54,SO_T14_CopperPLA,19.40846117,47,SO,T14,CopperPLA,n,n,24.44999819,1,5.04153702,5.04153702
55,SO_T14_CopperPipe,19.31635269,169,SO,T14,CopperPipe,n,n,24.44999819,1,5.1336455,5.1336455
57,SO_T15_ABS,17.98973784,20,SO,T15,ABS,y,y,19.39296979,109,1.40323195,1.40323195
58,SO_T15_PLA,17.95193078,20,SO,T15,PLA,y,y,19.39296979,109,1.44103901,1.44103901
59,SO_T15_CopperPLA,18.00042599,18,SO,T15,CopperPLA,y,y,19.39296979,109,1.3925438,1.3925438
60,SO_T15_CopperPipe,20.20317197,29,SO,T15,CopperPipe,y,y,19.39296979,109,-0.81020218,0.81020218
62,SO_T16_ABS,33.61590929,73,SO,T16,ABS,y,y,32.11758172,161,-1.49832757,1.49832757
63,SO_T16_PLA,32.3872467,56,SO,T16,PLA,y,y,32.11758172,161,-0.26966498,0.26966498
64,SO_T16_CopperPLA,30.64754392,32,SO,T16,CopperPLA,y,y,32.11758172,161,1.4700378,1.4700378
65,SO_T16_CopperPipe,35.2116161,100,SO,T16,CopperPipe,y,y,32.11758172,161,-3.09403438,3.09403438
67,SO_T18_ABS,16.91794564,69,SO,T18,ABS,y,y,16.20282716,125,-0.71511848,0.71511848
68,SO_T18_PLA,17.57034559,62,SO,T18,PLA,y,y,16.20282716,125,-1.36751843,1.36751843
69,SO_T18_CopperPLA,18.90596735,36,SO,T18,CopperPLA,y,y,16.20282716,125,-2.70314019,2.70314019
70,SO_T18_CopperPipe,19.20255848,56,SO,T18,CopperPipe,y,y,16.20282716,125,-2.99973132,2.99973132
72,SO_T20_ABS,23.34888022,38,SO,T20,ABS,y,y,24.61270199,34,1.26382177,1.26382177
73,SO_T20_PLA,23.78943907,46,SO,T20,PLA,y,y,24.61270199,34,0.82326292,0.82326292
74,SO_T20_CopperPLA,23.47613127,31,SO,T20,CopperPLA,y,y,24.61270199,34,1.13657072,1.13657072
75,SO_T20_CopperPipe,24.10387835,59,SO,T20,CopperPipe,y,y,24.61270199,34,0.50882364,0.50882364
77,SO_T21_ABS,22.27386054,71,SO,T21,ABS,y,y,22.35096457,193,0.07710403,0.07710403
78,SO_T21_PLA,22.12192106,72,SO,T21,PLA,y,y,22.35096457,193,0.22904351,0.22904351
79,SO_T21_CopperPLA,22.04224609,62,SO,T21,CopperPLA,y,y,22.35096457,193,0.30871848,0.30871848
80,SO_T21_CopperPipe,22.20986025,137,SO,T21,CopperPipe,y,y,22.35096457,193,0.14110432,0.14110432
82,SO_T22_ABS,31.3988016,47,SO,T22,ABS,y,y,33.24779794,99,1.84899634,1.84899634
83,SO_T22_PLA,32.99254657,44,SO,T22,PLA,y,y,33.24779794,99,0.25525137,0.25525137
84,SO_T22_CopperPLA,31.0796117,56,SO,T22,CopperPLA,y,y,33.24779794,99,2.16818624,2.16818624
85,SO_T22_CopperPipe,32.92234531,77,SO,T22,CopperPipe,y,y,33.24779794,99,0.32545263,0.32545263
87,SO_T23_ABS,30.68871702,44,SO,T23,ABS,y,y,35.09529888,167,4.40658186,4.40658186
88,SO_T23_PLA,30.17973153,42,SO,T23,PLA,y,y,35.09529888,167,4.91556735,4.91556735
89,SO_T23_CopperPLA,29.4346771,36,SO,T23,CopperPLA,y,y,35.09529888,167,5.66062178,5.66062178
90,SO_T23_CopperPipe,37.67194554,109,SO,T23,CopperPipe,y,y,35.09529888,167,-2.57664666,2.57664666
92,SO_T24_ABS,33.50023295,85,SO,T24,ABS,y,y,36.59874383,258,3.09851088,3.09851088
93,SO_T24_PLA,NA,NA,SO,T24,PLA,y,y,36.59874383,258,,
94,SO_T24_CopperPLA,29.37511188,62,SO,T24,CopperPLA,y,y,36.59874383,258,7.22363195,7.22363195
95,SO_T24_CopperPipe,30.82182466,142,SO,T24,CopperPipe,y,y,36.59874383,258,5.77691917,5.77691917
97,SO_T25_ABS,36.83226088,59,SO,T25,ABS,y,y,35.42545432,110,-1.40680656,1.40680656
98,SO_T25_PLA,33.65107435,71,SO,T25,PLA,y,y,35.42545432,110,1.77437997,1.77437997
99,SO_T25_CopperPLA,32.73187877,51,SO,T25,CopperPLA,y,y,35.42545432,110,2.69357555,2.69357555
100,SO_T25_CopperPipe,32.02670313,99,SO,T25,CopperPipe,y,y,35.42545432,110,3.39875119,3.39875119
102,SO_T26_ABS,8.489663461,135,SO,T26,ABS,n,n,,,-8.489663461,8.489663461
103,SO_T26_PLA,8.980605597,107,SO,T26,PLA,n,n,,,-8.980605597,8.980605597
104,SO_T26_CopperPLA,7.354991603,125,SO,T26,CopperPLA,n,n,,,-7.354991603,7.354991603
105,SO_T26_CopperPipe,6.479718431,167,SO,T26,CopperPipe,n,n,,,-6.479718431,6.479718431
107,SO_T27_ABS,37.07746717,214,SO,T27,ABS,y,y,35.76086772,160,-1.31659945,1.31659945
108,SO_T27_PLA,37.47949835,112,SO,T27,PLA,y,y,35.76086772,160,-1.71863063,1.71863063
109,SO_T27_CopperPLA,34.06445969,56,SO,T27,CopperPLA,y,y,35.76086772,160,1.69640803,1.69640803
110,SO_T27_CopperPipe,35.98314361,190,SO,T27,CopperPipe,y,y,35.76086772,160,-0.22227589,0.22227589
112,PM_T1_CopperPLA,20.18529831,11,PM,T1,CopperPLA,y,y,20.51382925,28,0.32853094,0.32853094
113,PM_T1_PLA,19.80809186,8,PM,T1,PLA,y,y,20.51382925,28,0.70573739,0.70573739
114,PM_T1_ABS,19.86805022,7,PM,T1,ABS,y,y,20.51382925,28,0.64577903,0.64577903
116,PM_T2_CopperPLA,22.85752046,26,PM,T2,CopperPLA,y,y,23.24049931,67,0.38297885,0.38297885
117,PM_T2_PLA,21.76814518,10,PM,T2,PLA,y,y,23.24049931,67,1.47235413,1.47235413
118,PM_T2_ABS,21.70822362,9,PM,T2,ABS,y,y,23.24049931,67,1.53227569,1.53227569
120,PM_T3_CopperPLA,27.11072506,41,PM,T3,CopperPLA,y,y,26.34495692,76,-0.76576814,0.76576814
121,PM_T3_PLA,25.59425299,48,PM,T3,PLA,y,y,26.34495692,76,0.75070393,0.75070393
122,PM_T3_ABS,27.03844189,40,PM,T3,ABS,y,y,26.34495692,76,-0.69348497,0.69348497
124,PM_T4_CopperPLA,31.12693778,52,PM,T4,CopperPLA,y,y,29.63539135,94,-1.49154643,1.49154643
125,PM_T4_PLA,27.28281712,45,PM,T4,PLA,y,y,29.63539135,94,2.35257423,2.35257423
126,PM_T4_ABS,26.02073732,45,PM,T4,ABS,y,y,29.63539135,94,3.61465403,3.61465403
128,PM_T5_CopperPLA,30.95416652,40,PM,T5,CopperPLA,y,y,31.57192821,45,0.61776169,0.61776169
129,PM_T5_PLA,29.01356321,38,PM,T5,PLA,y,y,31.57192821,45,2.558365,2.558365
130,PM_T5_ABS,30.35298272,31,PM,T5,ABS,y,y,31.57192821,45,1.21894549,1.21894549
132,PM_T6_CopperPLA,39.18231634,115,PM,T6,CopperPLA,y,y,35.65498562,80,-3.52733072,3.52733072
133,PM_T6_PLA,35.1611077,80,PM,T6,PLA,y,y,35.65498562,80,0.49387792,0.49387792
134,PM_T6_ABS,37.75151782,114,PM,T6,ABS,y,y,35.65498562,80,-2.0965322,2.0965322
136,PM_T7_CopperPLA,23.54963774,14,PM,T7,CopperPLA,y,y,24.90535782,66,1.35572008,1.35572008
137,PM_T7_PLA,23.6573442,15,PM,T7,PLA,y,y,24.90535782,66,1.24801362,1.24801362
138,PM_T7_ABS,24.50727976,21,PM,T7,ABS,y,y,24.90535782,66,0.39807806,0.39807806
140,PM_T8_CopperPLA,24.00064209,21,PM,T8,CopperPLA,y,y,24.40558877,60,0.40494668,0.40494668
141,PM_T8_PLA,23.14930605,38,PM,T8,PLA,y,y,24.40558877,60,1.25628272,1.25628272
142,PM_T8_ABS,23.62071795,25,PM,T8,ABS,y,y,24.40558877,60,0.78487082,0.78487082
144,PM_T9_CopperPLA,23.4475056,24,PM,T9,CopperPLA,y,y,24.27673701,91,0.82923141,0.82923141
145,PM_T9_PLA,23.18391849,21,PM,T9,PLA,y,y,24.27673701,91,1.09281852,1.09281852
146,PM_T9_ABS,23.99507537,37,PM,T9,ABS,y,y,24.27673701,91,0.28166164,0.28166164
148,PM_T10_CopperPLA,24.29967466,18,PM,T10,CopperPLA,y,n,24.68682376,79,0.3871491,0.3871491
149,PM_T10_PLA,24.51635286,1,PM,T10,PLA,y,n,24.68682376,79,0.1704709,0.1704709
150,PM_T10_ABS,24.48619287,11,PM,T10,ABS,y,n,24.68682376,79,0.20063089,0.20063089
152,PM_T11_CopperPLA,33.02639699,46,PM,T11,CopperPLA,y,y,35.57643855,123,2.55004156,2.55004156
153,PM_T11_PLA,33.2920894,47,PM,T11,PLA,y,y,35.57643855,123,2.28434915,2.28434915
154,PM_T11_ABS,32.38153304,41,PM,T11,ABS,y,y,35.57643855,123,3.19490551,3.19490551
156,PM_T12_CopperPLA,34.73639688,26,PM,T12,CopperPLA,y,y,34.40193696,108,-0.33445992,0.33445992
157,PM_T12_PLA,34.09336526,42,PM,T12,PLA,y,y,34.40193696,108,0.3085717,0.3085717
158,PM_T12_ABS,34.47252143,38,PM,T12,ABS,y,y,34.40193696,108,-0.07058447,0.07058447
159,AS_T5_PLA,NA,NA,AS,T5,PLA,n,n,,,,
160,AS_T5_ABS,28.52499987,1,AS,T5,ABS,n,n,,,-28.52499987,28.52499987
161,AS_T5_CopperPLA,28.69872587,2,AS,T5,CopperPLA,n,n,,,-28.69872587,28.69872587
163,AS_T6_PLA,NA,NA,AS,T6,PLA,n,n,,,,
164,AS_T6_ABS,30.39954533,1,AS,T6,ABS,n,n,,,-30.39954533,30.39954533
165,AS_T6_CopperPLA,29.31765876,1,AS,T6,CopperPLA,n,n,,,-29.31765876,29.31765876
167,AS_T7_PLA,28.9051964,11,AS,T7,PLA,y,y,27.80337775,21,-1.10181865,1.10181865
168,AS_T7_ABS,28.93432092,10,AS,T7,ABS,y,y,27.80337775,21,-1.13094317,1.13094317
169,AS_T7_CopperPLA,29.03815264,8,AS,T7,CopperPLA,y,y,27.80337775,21,-1.23477489,1.23477489
171,AS_T8_PLA,27.93859498,11,AS,T8,PLA,y,y,27.50031857,54,-0.43827641,0.43827641
172,AS_T8_ABS,27.6605868,9,AS,T8,ABS,y,y,27.50031857,54,-0.16026823,0.16026823
173,AS_T8_CopperPLA,28.04726051,11,AS,T8,CopperPLA,y,y,27.50031857,54,-0.54694194,0.54694194
175,AS_T9_PLA,27.05707382,4,AS,T9,PLA,n,n,,,-27.05707382,27.05707382
176,AS_T9_ABS,26.86556435,7,AS,T9,ABS,n,n,,,-26.86556435,26.86556435
177,AS_T9_CopperPLA,26.91616502,3,AS,T9,CopperPLA,n,n,,,-26.91616502,26.91616502
179,AS_T10_PLA,26.83352855,17,AS,T10,PLA,y,y,26.35714994,32,-0.47637861,0.47637861
